food,measure,g_or_ml,carbs_g,calories_kcal
Eritritol (possui carboidratos não absorvíveis),1 colher de sopa,15,15,3
Eritritol (possui carboidratos não absorvíveis),1 colher de chá,4,4,1
Eritritol (possui carboidratos não absorvíveis),1 xícara de chá,160,158,32
Ervilha em conserva,1 colher de sopa cheia,27,4,20
Ervilha em conserva,1 colher de arroz cheia,38,6,28
Ervilha verde cozida,1 colher de sopa cheia,30,4,26
Escarola (endivia) crua,gramas,100,3,12
Escondidinho de Carne Seca,1 porção média,200,28,339
Escondidinho de Carne Seca,1 xícara,240,34,407
Esfiha de calabresa (Habib’s®),1 unidade,75,17,130
Esfiha de carne aberta,1 unidade média,75,18,125
Esfiha de carne fechada,1 unidade média,80,29,203
Esfiha de carne fechada,1 unidade pequena,25,9,64
Esfiha de espinafre (Habib’s®),1 unidade,80,17,122
Esfiha de frango (Habib’s®),1 unidade,75,18,115
Esfiha de queijo,1 porção média,13,5,47
Esfiha de queijo,1 porção pequena,73,27,263
Esfiha folhada de cheddar com pepperoni (Habib’s®),1 unidade,55,11,201
Esfiha folhada de chocolate (Habib’s®),1 unidade,45,16,199
Esfiha folhada de chocolate com M&M’s® (Habib’s),1 unidade,65,28,295
Eskibon® (picolé clássico),1 unidade,48,15,147
Espaguete ao sugo,1 pegador médio,110,24,112
Espaguete com molho de tomate,1 pegador médio,110,23,112
Espaguete com molho de tomate,1 xícara,220,48,224
Espaguete cozido,1 pegador médio,110,39,112
Espaguete cozido,1 xícara,220,43,220
Espaguete de trigo integral,1 pegador médio,110,19,86
Espaguete de trigo integral,1 xícara,220,37,172
Espinafre cru,1 colher de sopa cheia,20,0,4
Espinafre refogado,1 colher do sopa cheia,25,2,27
Estrogonoff de filé mignon (Backed Potato®),1 concha,85,0,146
Estrogonoffe de carne,1 colher do sopa cheia,25,1,39
Estrogonoffe de carne,1 colher de arroz cheia,40,2,62
Estrogonoffe de carne,1 concha média cheia,170,7,266
Estrogonoffe de frango,1 colher do sopa cheia,25,1,43
Estrogonoffe de frango,1 colher de arroz cheia,40,2,69
Estrogonoffe de frango,1 concha média cheia,170,7,293
Extrato de malte,1 colher de sopa cheia,15,10,42
Extrato de tomate,1 colher de sopa,15,2,10
Faisalim (Habib’s®),1 unidade,80,35,240
Falafel,1 unidade média,40,14,84
Falafel (bolinho de grâo de bico),1 unidade média,50,10,78
Fandangos® (salgadinho de milho sabores),1 pacote de 22g,22,15,100
Fandangos® (salgadinho de milho sabores),1 pacote de 37g,37,20,170
Fandangos® (salgadinho de milho sabores),1 pacote de 45g,45,30,222
Fandangos® (salgadinho de milho sabores),1 pacote de 90g,90,59,411
Fandangos® (salgadinho de milho sabores),1 pacote de 80g,80,52,365
Fandangos® (salgadinho de milho sabores),1 pacote de 140g,140,59,639
Fanta laranja,1 copo,200,22,90
Fanta laranja,1 lata,350,39,158
Farelo de Aveia,1 colher de sopa,15,10,60
Farelo de Aveia,1 colher de sobrememesa,8,6,32
Farelo de Aveia,1 colher de chá,4,1,16
Farelo de trigo,1 colher de sopa cheia,9,5,28
Farelo de trigo,1 colher de sobremesa cheia,7,4,22
Farfalle cozido,1 xícara,80,60,286
Farinha d’água-do-pará,1 copo descartável pequeno,50,41,166
Farinha de amaranto,1 colher de sopa cheia,25,17,91
Farinha de amaranto,1 colher de sopa rasa,10,7,37
Farinha de amendoas,1 colher de sopa,15,4,79
Farinha de amendoas,1 xícara,120,24,677
Farinha de arroz,1 colher de sopa cheia,17,14,60
Farinha de arroz integral,1 colher de sopa cheia,17,13,62
Farinha de arroz integral,1 xícara,158,121,574
Farinha de centeio integral,1 xícara,158,130,558
Farinha de centeio integral,1 colher de sopa cheia,15,11,54
Farinha de centeio integral,1 xícara,128,94,569
Farinha de chia,1 colher de sobremesa,7,3,34
Farinha de chia,1 colher de sopa,10,4,51
Farinha de coco,1 colher de chá,6,3,26
Farinha de coco,1 colher de sopa rasa,10,3,44
Farinha de coco,1 colher de sopa cheia,12,7,53
Farinha de linhaça,1 colher de sopa cheia,15,2,72
Farinha de linhaça,1 colher de sobremesa,5,0,24
Farinha de mandioca,1 colher de sopa cheia,16,14,57
Farinha de milho,1 colher de sopa cheia,15,12,54
Farinha de milho integral,1 colher de sopa cheia,15,11,53
Farinha de milho integral,1 xícara,120,88,424
Farinha de rosca,1 colher de sopa cheia,15,11,61
Farinha de rosca,1 xícara,80,59,325
Farinha de tapioca,1 colher de sopa,16,14,57
Farinha de tapioca com coco e açúcar,1 colher de sopa cheia,25,21,107
Farinha de trigo,1 colher de sopa cheia,20,15,71
Farinha de trigo,1 colher de sopa rasa,13,10,46
Farinha de trigo,1 xícara,165,124,586
Farinha de trigo,1 colher de sobremesa,5,4,18
Farinha láctea,1 colher de sopa rasa,8,6,30
Farofa com linguiça,1 colher de sopa cheia,15,7,54
Farofa com linguiça,1 colher de arroz cheia,45,21,162
Farofa com linguiça,1 colher de sobremesa cheia,10,5,36
Farofa com tempero/óleo,1 colher de sopa cheia,15,12,71
Farofa de farinha de mandioca,1 colher de sopa cheia,25,20,96
Farofa de farinha de mandioca,1 colher de arroz cheia,75,60,288
Farofa simples,1 colher de arroz cheia,45,36,213
Farofa simples,1 colher de sobremesa,8,6,32
Farofa simples,1 colher de sobremesa cheia,10,8,48
Farofa simples,1 colher de sopa cheia,15,12,71
Fatouche,1 porção,100,5,162
"Fava, grãos, cozidos",1 xícara,90,23,113
"Fava, grãos, cozidos",1 colher de servir cheia,35,8,38
"Fava, grãos, cozidos",1 colher de spa cheia,31,7,34
"Fava, grãos, cozidos",1 concha média cheia,140,30,154
"Fava, grãos, cozidos",1 concha rasa,80,17,88
Feijão azuki cozido,1 colher de sopa,17,5,22
Feijão azuki cozido,1 colher de arroz,35,9,45
Feijão azuki cozido,1 xícara de chá,184,46,236
Feijão azuki cozido,1 colher de sopa,17,4,22
Feijão branco cozido,1 concha média rasa,80,21,112
Feijão branco cozido,1 colher de sopa,17,4,20
Feijão carioquinha cozido,1 colher de sopa cheia,17,3,19
Feijão carioquinha cozido,1 concha média rasa,80,14,89
Feijão preto cozido,1 colher de sopa cheia,17,2,13
Feijão preto cozido,1 concha média rasa,80,10,61
Feijão preto cozido,1 concha média cheia,140,18,107
Feijão tropeiro,1 concha média rasa,70,33,206
Feijão tropeiro,1 colher de sopa cheia,15,7,50
Feijão verde cozido,1 xícara,110,8,34
Feijão-fradinho cozido,1 colher de sopa cheia,17,2,13
Feijoada caseira,1 concha média cheia,225,24,346
Feijoada caseira,1 colher de sopa cheia,35,4,54
Fermento  biológico,1 tablete,15,1,155
Fermento em pó,1 colher de sopa rasa,10,4,17
Fettuccine,1 pegador médio,110,24,150
Fettuccine,1 xícara,140,43,100
Fettuccine a bolonhesa,1 porção média,350,49,458
Fettuccine cozido,1 xícara,140,43,220
Fígado de boi grelhado,1 bife médio,110,5,239
Fígado de galinha cru,1 unidade média,70,4,95
Figo,1 unidade média,55,8,38
Figo cristalizado,1 unidade média,30,22,86
Figo enlatado em calda,1 unidade média,20,10,38
Figo seco,1 unidade média,30,20,75
Filé mignon a parmeggiana/empanado,1 unidade média,100,10,341
Filé mignon a parmeggiana/empanado,1 unidade grande,125,13,427
File mignon ao molho  madeira,1 unidade pequena,180,12,227
Filhós (doce típico da região da Galiza),1 unidade média,65,26,159
Financier de amêndoas,1 unidade média,10,7,54
Fios de ovos,1 xícara,120,37,1458
"Flan dietético, em pó, preparado Lowçucar®",1 porção preparada confome descrito pelo fabricante,125,4,125
Flan tradicional (com açúcar),1 colher de sopa cheia,25,5,33
"Flan tradicional (com açúcar) (média das marcas Paulista®, Batavo®, Frimesa®, Nestlé®)",1 potinho,100,115,23
Flocos de milho sem açúcar,1 colher de sopa,10,9,38
Flocos de milho sem açúcar,1 xícara,28,26,107
Focaccia,1 fatia média,57,27,182
Fofura® (salgadinho de milho sabores),1 pacote pequeno,40,24,770
Fofura® (salgadinho de milho sabores),1 pacote grande,90,54,1731
Fogazza de calabresa (Habib’s®),1 unidade,70,22,186
Fogazza de mussarela (Habib’s®),1 unidade,70,21,200
Folhado de frango,1 unidade média,40,9,109
"Fondue de carne (somente a carne, sem os acompanhamentos)",1 bife médio,90,0,180
"Fondue de chocolate (somente o ganache de chocolate, sem os acompanhamentos)",1 colher sopa,30,15,105
"Fondue de queijo (somente o queijo, sem os acompanhamentos)",1 colher de sopa do molho,30,1,70
"Fondue de queijo (somente o queijo, sem os acompanhamentos)",1 xícara,214,8,492
Framboesa,4 unidades médias,12,1,16
Framboesa,1 xícara,123,15,64
"Framboesa, doce em pasta",1 colher de sopa cheia,50,35,143
"Framboesa, geléia de",1 colher de sopa cheia,34,24,97
"Framboesa, geléia de",1 colher de sopa rasa,22,16,62
"Framboesa, geléia de",1 colher de sobremesa cheia,26,19,73
"Framboesa, geléia de",1 colher de sobremesa rasa,11,8,31
Francesinha (sanduíche de origem portuguesa),1 sanduiche,795,67,1130
Frango à milanesa,1 filé pequeno,100,7,221
Frango à milanesa,1 filé grande,190,13,419
Frango à milanesa,1 filé médio,140,9,310
Frango à passarinho,1 unidade média,65,0,129
Frango à paulista,1 filé pequeno,90,1,207
Frango à paulista,1 filé médio,130,2,336
Frango à paulista,1 filé grande,190,2,491
Frango agridoce,1 coxa de frango com molho,90,9,69
Frango agridoce,1/2 peito de frango com molho,131,15,117
Frango assado,1 sobrecoxa média,65,0,78
Frango assado,1 sobrecoxa grande,84,0,206
Frango assado,1/2 peito médio,85,0,237
Frango assado,1 coxa média,49,0,81
Frango assado,1 coxa grande,65,0,1
Frango assado,1 asa média,32,0,92
Frango com requeijão (Backed Potato®),1 concha,85,0,139
Frango cozido,1 sobrecoxa média,65,0,82
Frango cozido,1 colher de sopa,20,0,33
Frango filé cozido,1 filé pequeno,100,0,163
Frango frito,1 coxa média,49,0,119
Frango frito,1 coxa grande,65,0,94
Frango frito,1/2 peito pequeno,75,0,138
Frango frito,1/2 peito médio,86,0,158
Frango frito,1/2 peito grande,96,0,180
Frango Teriyaki,1 porção média,183,11,273
Frango Teriyaki,1 xícara,244,15,364
Frango xadrez,1 xícara,162,12,434
Franlitos (Bob’s®),1 porção com 6 unidades,120,28,272
Franlitos (Bob’s®),1 unidade,20,5,16
Frigideira de repolho com camarão seco,1 colher de sopa,25,1,25
Frittata de Abobrinha,1 porção média,135,20,195
Frittata de batata,1 porção média,135,31,244
Froot Loops® (Alimento à base de cereais com sabor artificial de frutas),1 pacote individual,20,17,75
Froot Loops® (Alimento à base de cereais com sabor artificial de frutas),1 xícara,30,25,111
Fruta - pão,1 porção,100,24,96
"Fruta do conde, ata ou pinha",1 unidade média,60,13,53
Frutas cristalizadas industrializadas,1 colher de sopa cheia,15,12,48
Frutas cristalizadas industrializadas,1 xícara,150,120,600
Frutilly® (picolé sabor flock),1 unidade,54,17,154
Frutilly® (picolé sabor morango),1 unidade,40,9,49
Fruttare® (picolé sabor abacaxi),1 unidade,59,16,49
Fruttare® (picolé sabor coco),1 unidade,60,14,84
Fruttare® (picolé sabor lichia),1 unidade,61,12,48
Fruttare® (picolé sabor limão),1 unidade,58,13,52
Fruttare® (picolé sabor manga),1 unidade,61,20,80
Fruttare® (picolé sabor maracujá),1 unidade,58,15,60
Fruttare® (picolé sabor uva),1 unidade,59,20,80
Fruttare® Yogo (picolé),1 unidade,71,20,128
Fubá,1 colher de sopa cheia,20,16,71
Fubá,1 colher sopa rasa,13,10,46
Fubá,1 xícara,50,40,179
Fubá,1 colher de sobremesa,7,6,25
Funghi (cogumelos),1 colher de sopa cheia,20,10,71
Furrundu (doce à base de mamão e rapadura),1 colher de sopa,20,13,52
Fusilli Integrale (Spoleto®),1 porção padrão,200,75,328
Fusilli Integrale (Spoleto®),1/2 porção de massa (porção Bambini),100,38,164
Galeto assado,1 pedaço pequeno,95,0,115
Galinha ao molho pardo,1 pedaço médio,95,0,150
Galinhada com pequi,1 colher de servir,60,13,108
Galinhada com pequi,1 porção,350,16,540
Gaspacho,1 copo cheio,200,4,38
Gatorade - média sabores ®,1 garrafa,500,12,48
"Geladinho (sacolé, dindim), c/ leite integral, leite condensado, leite de coco e coco ralado",1 unidade,100,29,230
"Geladinho (sacolé, dindim), c/ polpa congelada, água, amido de milho, c/ açúcar",1 unidade,100,8,30
"Geladinho (sacolé, dindim), c/ suco em pó, água, amido de milho, c/ açúcar,",1 unidade,100,9,37
Gelatina comum pronta (média),1 potinho,100,13,62
Gelatina diet pronta (média),1 potinho,100,1,9
Gelatina em pó com açúcar,1 colher de sopa,25,12,54
Gelatina em pó sem açúcar,1 colher de sopa,12,3,36
Gelatina em pó sem sabor,1 colher sopa,14,0,48
Geléia de frutas (média diferentes sabores),1 colher de sopa cheia,34,22,90
Geléia de mocotó,1 colher de sopa,25,9,37
Geléia de mocotó zero açúcar,1 colher de sopa rasa,10,0,4
Geléia de morango diet,1 colher de sopa rasa,22,6,25
Geléia de morango diet Linea ®,1 colher de sopa rasa,25,9,18
Geléia Frutas vermelhas diet QueensBerry ®,1 colher de sopa rasa,20,6,26
Geléia Hainich sem açúcar ®,1 colher de sopa,20,9,37
Gema de ovo cozida,1 unidade,20,0,72
Gemada,1 colher sopa,15,5,32
Gengibre em pó,1 colher de sopa cheia,15,11,51
"Gengibre, raiz, in natura",1 colher sopa rasa,15,3,12
Gergelim (semente),1 colher sopa rasa,15,3,12
Gergelim Vitao®,1 colher sopa,15,2,87
Germen de trigo Jasmine ®,1 colher sopa,10,5,37
Gim / Gin,1 dose,50,0,115
Gin Tônica,1 dose,100,4,109
Gin tônica,1 dose,225,16,171
Gin tônica zero,1 dose,225,0,110
Glicofast ®,1 pastilha,3,3,12
Glicose de milho,1 colher sopa,20,16,64
Glinstan ®,1 sachê,15,15,55
Glucerna SR ® em pó,1 colher sopa,9,5,38
Glucerna SR ® líquida,1 garrafinha,200,22,186
Goiaba inteira,1 unidade média,100,14,50
"Goiaba, doce em pasta",1 colher sopa rasa,22,17,64
"Goiaba, doce em pasta",1 colher sopa cheia,34,25,99
Goiabada,1 fatia média,40,25,100
Goiabada diet,1 colher sopa cheia,25,11,41
Goiabada diet de colher,1 fatia média,40,18,66
Goiabada Predilecta ®,1 fatia pequena,40,35,140
Goma de mascar (diet) média sabores,1 unidade,5,5,18
Goma de mascar com açúcar (média sabores),1 unidade,5,5,19
Goma de tapioca Yoki ®,1 colher de sopa cheia,17,10,37
Gordura vegetal hidrogenada,1 colher de sopa cheia,19,0,71
"Gorgonzola, queijo",1 fatia pequena,30,1,97
"Gouda, queijo",1 fatia média,100,2,356
Goulash com sal,1 xícara de chá,30,1,106
Gran picanha Bob’s ®,1 unidade,203,36,502
Granola 7 Grãos Sem Açúcar Da Magrinha®,1/2 xícara,40,22,138
Granola 7 Grãos tradicional Da Magrinha®,1/2 xícara,40,24,139
Granola sem açúcar,1 colher sopa,11,8,42
Granola zero açúcar Tia Sônia®,1/4 xícara,40,19,123
Granola zero açúcar tradicional Jasmine®,1/2 xícara,40,21,156
Granola zero açúcar tradicional Mãe Terra®,1/2 xícara,40,20,163
Granola zero Kobber®,1/2 xícara,40,22,128
"Granola, cereais, frutas secas e oleagionosas",1/2 xícara chá,40,21,174
"Granola, cereais, frutas secas e oleagionosas",1 colher sopa,10,6,49
"Grão de bico cozido, sem caldo",1 concha cheia,120,25,138
"Grão de bico cozido, sem caldo",1 colher sopa cheia,22,5,25
Graviola,1 pedaço pequeno,100,15,60
Graviola,1 pedaço médio,80,13,51
"Graviola, doce de",1 colher sopa cheia,25,13,52
"Graviola, polpa congelada",1 saquinho,100,10,38
Guacomole com sal,1 colher sopa cheia,45,3,74
"Guandú, feijão",1 colher de sopa cheia,22,14,70
Guaraná Antartica ®,1 lata,350,20,80
Guaraná diet Antartica ®,1 lata,350,0,0
Guaraná Fruki®,1 lata,350,17,66
Guaraná Goianinho®,1 lata,350,36,145
Guaraná Jesus®,1 lata,350,39,155
Guaraná Kuat ®,1 lata,350,21,82
Guaraná Mineiro ®,1 lata,350,38,154
Guaraná refrigerante Kuat ®,1 copo,200,13,52
"Guaraná, pó",1 colher café rasa,1,1,3
Guariroba,1 colher de sopa cheia,15,1,5
Guariroba refogada,2 colheres de sopa cheias,60,6,22
Hamburguer - sanduíche Mc Donalds ®,1 unidade,101,30,249
Hamburguer (sanduíche simples caseiro),1 unidade,110,32,360
Hamburguer de carne bovina Sadia ®,1 unidade,53,2,150
Hamburguer de frango Sadia ®,1 unidade,53,1,105
Hamburguer de grão de bico,1 unidade,82,20,127
Hamburguer de peru Sadia ®,1 unidade,53,2,93
Hamburguer misto  Perdigão ®,1 unidade,53,1,81
"Harumaki (rolinho primavera), camarão ou peixe, frito",1 unidade,60,10,181
"Harumaki (rolinho primavera), camarão, frito",1 unidade,60,10,180
Harumaki de carne,1 unidade,50,8,103
Harumaki de carne Jin Jin Wok ®,1 unidade,20,11,47
"Harumaki de peixe, frito",1 unidade,60,10,190
Harumaki filadélfia,1 unidade,50,8,158
Harumaki filadélfia Jin Jin Wok ®,1 unidade,20,8,56
Herbalife Shake de  baunilha ®,1 colher sopa,10,4,36
Hipoglosso (peixe) cozido,1 filé médio,100,0,125
Homus,1 colher de sopa cheia,30,14,94
Homus (Habib’s),1 porção,240,34,360
Homus com pão sírio Habib’s ®,1 porção,334,83,642
Homus de grão de bico Homus,1 colher de sopa cheia,45,9,123
"Hortelã, folhas de",1 colher sopa cheia,10,0,4
Hossomaki de atum,1 unidade pequena,15,5,38
Hossomaki de atum,1 unidade,110,26,164
Hossomaki de pepino,1 unidade pequena,15,5,24
Hossomaki de pepino,1 unidade,110,26,123
Hossomaki de salmão,1 unidade pequena,15,9,49
Hossomaki de salmão,1 unidade,110,26,155
Hot dog (sanduíche simples),1 unidade,125,31,330
Hot Filadélfia (hot rol),1 unidade,30,8,82
Inhame cozido,1 fatia média,100,28,116
"Inhame sem casca, assado",1 colher sopa  cheia,35,8,32
"Inhame sem casca, cozido, drenado",1 colher sopa cheia,35,7,45
"Inhame, raiz sem casca  de (picado)",1 colher de sopa cheia,35,8,31
Iogurte  Gegro frutas amarelas Vigor®,1 unidade,90,17,139
Iogurte abacaxi Tirol ®,1 unidade,200,27,175
Iogurte Activa aveia  Danone ®,1 garrafinha,170,22,110
Iogurte Activa morango Danone®,1 garrafinha,150,19,104
Iogurte Activa morango Danone ®,1 copo,200,25,138
Iogurte Activia ameixa Danone ®,1 copo,150,19,104
Iogurte Activia café da manhã Chia e Manga Danone ®,1 unidade,170,23,182
Iogurte Activia Café da manhã com  Quinoa e  frutas vermelhas Danone ®,1pote,170,23,182
Iogurte Activia Café da manhã com Amaranto e Mamão Danone ®,1 pote,170,24,180
"Iogurte Activia café da manhã com Quinoa, morango e amora Danone ®",1 unidade,170,22,182
Iogurte Activia natural  Danone ®,1 unidade,170,22,122
Iogurte Activia original Danone ®,1 pote,94,12,100
Iogurte Activia Polpa Ameixa Danone®,1 pote,100,10,79
Iogurte Activia Polpa Aveia Danone®,1 pote,100,10,79
Iogurte Activia Polpa Morango Danone ®,1 pote,100,10,77
Iogurte Activia zero ameixa Danone ®,1 unidade,170,6.5,40
Iogurte Activia Zero Ameixa Danone ®,1 garrafinha,170,25,131
Iogurte camadas Banoffe Frimesa ®,1 pote,165,21,137
Iogurte camadas frutas vermelhas Frimesa®,1 unidade,165,23,137
Iogurte camadas morango Frimesa ®,1 unidade,165,21,137
Iogurte côco Danone ®,1 copo,200,22,128
"Iogurte com preparado de fruta- laranja, cenoura e mel Danone ®",1 unidade,180,20,148
Iogurte Corpus Sleeve Morango Danone ®,1 garrafinha,170,13,76
"Iogurte cremoso - laranja, cenoura e mel Batavo ®",1 unidade,160,24,162
Iogurte cremoso ameixa Batavo ®,1 unidade,170,25,166
Iogurte cremoso natural integral Batavo ®,1 unidade,200,10,146
Iogurte Dan up®,1 unidade,155,27,162
Iogurte de frutas (média),1 pote,100,17,90
Iogurte de frutas light/diet (média),1 pote,100,7,42
Iogurte desnatado açaí e banana Protein + zero Frimesa ®,1 unidade,170,15,128
Iogurte desnatado Batavo ®,1 pote,170,9,61
